,D003093,D006262,accuracy,macro avg,weighted avg
precision,0.74,0.73,0.74,0.74,0.74
recall,0.72,0.75,0.74,0.74,0.74
f1-score,0.73,0.74,0.74,0.74,0.74
support,615.0,615.0,0.74,1230.0,1230.0
