,D003093
384638__1735_371601,0.2239265028287313
1735__371601,0.03573085011388413
1211813__818_158847,0.1696284966846529
818__158847,0.08007243410747887
1505__469591,-0.2694079955340673
28126__40545_338188,0.05012530672715932
40545__338188,-0.04151755839029202
40519__1118061,0.02394664366922821
33035__469610,0.12793193744968492
328814__363265_626940,-0.032294177281253236
76860__582_33033,-0.0
582__33033,-0.0
665951__1689_328813,-0.025548007746250437
47770__116085,-0.0
1161942__853_39485,-0.2563491299942161
333367__446660_1118060,-0.061280280263342375
571__457394,0.5242120570187747
860__849_491921,0.31140302327340913
703__188913_457415,4.4262990856064997e-07
735__905_1685,0.02064412762924743
1343__457421,-0.0
376804__2173_204516,0.034501963818479496
749535__301301_649756,0.037056228364994434
936548__550_33043,-0.08241508631744683
1689__328813,0.2043511272598716
1582__28025_487175,-0.15661119696088902
853__39485,0.03133129288836115
363265__626940,0.23969113349476506
1512__1531_163665,0.07984339308078578
188913__457415,0.11110651728591067
1352__1099853,0.08343858438804105
446660__1118060,-0.6640824727501132
849__491921,0.6439602260679599
563193__573_166486,-0.030382715019507376
2173__204516,0.09821085657761906
291644__28116_357276,-0.014691010910756813
905__1685,-0.19268717995872514
68892__208479_469588,0.2231492813366613
281920__823_28123,-0.31857220542087705
469614__1686_28111,-0.0
154288__39496_469592,-0.26686619891062346
33959__322095,-0.7616178630252787
550__33043,0.38392929172638784
39490__310297,0.3043865829972347
301301__649756,-0.08538062703140198
1078090__1623_457392,0.4886438538319648
154046__156974,0.40950007287943824
1105030__1681_387090,0.5219598446791813
907__47678_1203555,-0.4246562118262282
1261__1318_1583,0.6695332794765845
823__28123,-0.19015843453698333
28025__487175,0.6142907157098778
197614__214856_261299,-0.030348345033772324
1686__28111,0.2342121848749664
103892__39483_239935,-0.6186730513468426
28037__39777_376805,0.10627465512542016
1596__1308_52226,0.10837435484105253
658085__165179_310298,-0.33394085495040005
573__166486,0.14051921029658354
548__33039_360807,0.3718927136182708
29391__88431_411489,0.11040069953779703
102148__1304_487173,0.400405739914477
47678__1203555,-0.4863106967784088
1531__163665,0.5840038881470487
208479__469588,0.3339098979689933
1681__387090,0.0522896435548544
28116__357276,0.14472972905279122
908612__821_46506,-0.062021040064965276
1070699__817_39492,0.0376305616126566
39496__469592,0.9942329512915168
39483__239935,0.5010327396990849
1623__457392,0.8641648625540415
546__218538_410072,-0.05793858411556909
214856__261299,-0.25981483068289635
658082__74426_329854,0.05466975957956626
165179__310298,-0.15740064534241205
1226325__729_46503,0.18617763652782648
150055__40520_454154,0.5898568199560027
1308__52226,0.5742575224981297
33039__360807,0.1489614114579052
1358__28118_39486,-0.5080609412453113
296__562_39491,0.0944404505989341
88431__411489,0.0391740160482817
39777__376805,0.8005371995802901
187326__820_29466,0.0012059863562317494
1304__487173,0.09008564001289794
187327__39488_751585,0.09477598245913313
1318__1583,1.1687800211600563
817__39492,0.052726626429001486
1502__658086,0.9177769911893816
218538__410072,-0.21859664632537507
851__216816_487174,-0.023019027129904928
729__46503,0.02910643903250248
820__29466,0.10158891015964087
1492__40518_658081,-0.3643745880884409
821__46506,-0.1401207746791974
562__39491,0.10278402984772196
74426__329854,0.19822772562017502
39488__751585,0.1485306839431796
40520__454154,0.5567841165537224
29361__33038_246787,-0.008173255198758458
28118__39486,-0.6882256639655671
216816__487174,0.11239078150999347
469596__28117_457412,0.1036061351957746
626929__1680_45851,0.05719994121724215
40518__658081,-0.3818658742761693
33038__246787,0.3155728661222893
28117__457412,-0.15433650548147598
1680__45851,0.4733676798658136
