mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.00538020133972168,0.00020699398332265015,0.0027160167694091795,8.54002437568479e-05,0.001,{'C': 0.001},0.5,0.5,0.5,0.48484848484848486,0.48484848484848486,0.49393939393939396,0.007422696190252049,10,0.5,0.5,0.5,0.5037037037037037,0.5037037037037037,0.5014814814814814,0.0018144368465060332
0.015555000305175782,0.004143603816699807,0.0034221649169921876,0.001045740249130336,0.00332829813945462,{'C': 0.00332829813945462},0.7941176470588235,0.8529411764705882,0.7647058823529411,0.6666666666666666,0.7878787878787878,0.7732620320855614,0.060717628252092405,3,0.7686567164179104,0.7835820895522388,0.7835820895522388,0.7851851851851852,0.8,0.7842012161415146,0.009929429727937736
0.03441462516784668,0.005870922784372914,0.003098154067993164,0.00020339179184762927,0.011077568505097092,{'C': 0.011077568505097092},0.7941176470588235,0.7941176470588235,0.7647058823529411,0.696969696969697,0.8181818181818182,0.7736185383244207,0.0419065463786889,2,0.8283582089552238,0.8432835820895522,0.8208955223880597,0.8518518518518519,0.837037037037037,0.8362852404643449,0.010876972232139043
0.033325576782226564,0.0007760473784412675,0.003608226776123047,0.0007245339227320867,0.03686945064519577,{'C': 0.03686945064519577},0.8529411764705882,0.7941176470588235,0.8529411764705882,0.7575757575757576,0.8181818181818182,0.8151515151515152,0.03639420615713198,1,0.9104477611940298,0.917910447761194,0.9253731343283582,0.9481481481481482,0.9407407407407408,0.9285240464344943,0.014026273915999352
0.04140019416809082,0.010851146998665165,0.003112459182739258,6.403331842920428e-05,0.12271252398511903,{'C': 0.12271252398511903},0.7941176470588235,0.7647058823529411,0.6764705882352942,0.7272727272727273,0.7575757575757576,0.7440285204991088,0.039911984023768554,4,0.9776119402985075,0.9850746268656716,1.0,0.9703703703703703,0.9851851851851852,0.983648424543947,0.009843937940761535
0.038046836853027344,0.004811621615089102,0.0030254364013671876,6.874275390099168e-05,0.40842386526745217,{'C': 0.40842386526745217},0.8235294117647058,0.7352941176470589,0.6176470588235294,0.6666666666666666,0.7575757575757576,0.7201426024955436,0.07167238523573777,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03507928848266602,0.002176651635373229,0.003035116195678711,6.758876992799638e-05,1.3593563908785269,{'C': 1.3593563908785269},0.8235294117647058,0.7352941176470589,0.5882352941176471,0.6666666666666666,0.7575757575757576,0.7142602495543672,0.0805057080922302,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.038553476333618164,0.0108507615912232,0.003030824661254883,7.155265295502518e-05,4.524343346616749,{'C': 4.524343346616749},0.8235294117647058,0.7352941176470589,0.5882352941176471,0.6666666666666666,0.7575757575757576,0.7142602495543672,0.0805057080922302,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.03400974273681641,0.002429575765870986,0.003010463714599609,0.0001013717444296315,15.058363542798414,{'C': 15.058363542798414},0.8235294117647058,0.7352941176470589,0.6176470588235294,0.6666666666666666,0.7575757575757576,0.7201426024955436,0.07167238523573777,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.034431076049804686,0.004567493251097099,0.0030982494354248047,0.00018622685814723264,50.11872336272722,{'C': 50.11872336272722},0.8235294117647058,0.7352941176470589,0.6176470588235294,0.6666666666666666,0.7575757575757576,0.7201426024955436,0.07167238523573777,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
