mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.013469982147216796,0.00035909170018951316,0.0064792633056640625,0.0010501830113610131,0.001,{'C': 0.001},0.5,0.5,0.5,0.5,0.5,0.5,0.0,10,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.1485462188720703,0.05342901154355665,0.005912208557128906,0.00011495134646204199,0.00332829813945462,{'C': 0.00332829813945462},0.6612903225806451,0.7096774193548387,0.6451612903225806,0.7580645161290323,0.6290322580645161,0.6806451612903226,0.04718948012363805,9,0.7298387096774194,0.75,0.7459677419354839,0.75,0.7379032258064516,0.742741935483871,0.007818838479703749
0.1564413547515869,0.030319136684998742,0.0057525634765625,2.9925853295574684e-05,0.011077568505097092,{'C': 0.011077568505097092},0.7258064516129032,0.8064516129032258,0.8064516129032258,0.7419354838709677,0.7258064516129032,0.7612903225806452,0.0373414093638394,8,0.8145161290322581,0.8306451612903226,0.8346774193548387,0.8387096774193549,0.8467741935483871,0.8330645161290324,0.010698789646307732
0.20634698867797852,0.012253394422183523,0.005870389938354492,0.00019647753246167558,0.03686945064519577,{'C': 0.03686945064519577},0.7741935483870968,0.8387096774193549,0.7903225806451613,0.7096774193548387,0.7741935483870968,0.7774193548387098,0.04131047895117967,2,0.9717741935483871,0.9516129032258065,0.9637096774193549,0.967741935483871,0.9516129032258065,0.9612903225806452,0.008302927533054024
0.23317313194274902,0.005192293287871587,0.0056667327880859375,3.0244785231104996e-05,0.12271252398511903,{'C': 0.12271252398511903},0.7903225806451613,0.8225806451612904,0.8064516129032258,0.6935483870967742,0.8225806451612904,0.7870967741935483,0.04827945015192182,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2500748157501221,0.00440928526659425,0.0057941913604736325,0.00016683588412822573,0.40842386526745217,{'C': 0.40842386526745217},0.7741935483870968,0.8387096774193549,0.8225806451612904,0.6612903225806451,0.7903225806451613,0.7774193548387096,0.06238412776068943,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2317258358001709,0.014795111564828283,0.005942630767822266,0.00029409224656018175,1.3593563908785269,{'C': 1.3593563908785269},0.7580645161290323,0.8387096774193549,0.8064516129032258,0.6612903225806451,0.7903225806451613,0.7709677419354838,0.06069318620073156,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.20410580635070802,0.010552458194582708,0.005758810043334961,9.485169672558601e-05,4.524343346616749,{'C': 4.524343346616749},0.7419354838709677,0.8387096774193549,0.8225806451612904,0.6935483870967742,0.7903225806451613,0.7774193548387096,0.053396597926602736,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.196394681930542,0.00659259458902591,0.005858945846557617,0.00010539615746660843,15.058363542798414,{'C': 15.058363542798414},0.7419354838709677,0.8387096774193549,0.8225806451612904,0.6935483870967742,0.7903225806451613,0.7774193548387096,0.053396597926602736,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1922964096069336,0.005883984372673468,0.007115745544433593,0.0024106672313931004,50.11872336272722,{'C': 50.11872336272722},0.7419354838709677,0.8387096774193549,0.8225806451612904,0.6935483870967742,0.7903225806451613,0.7774193548387096,0.053396597926602736,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
