,D003093,D006262,accuracy,macro avg,weighted avg
precision,0.79,0.77,0.78,0.78,0.78
recall,0.77,0.79,0.78,0.78,0.78
f1-score,0.78,0.78,0.78,0.78,0.78
support,615.0,615.0,0.78,1230.0,1230.0
