,ACC,AUC,F1,GI,IBA,J,MCC,PPV,TNR,TPR
ADASYN,0.76,0.90,0.76,0.52,0.57,0.61,0.52,0.77,0.76,0.76
BorderlineSMOTE,0.74,0.90,0.73,0.47,0.52,0.58,0.47,0.74,0.75,0.72
KMeansSMOTE,0.80,0.94,0.79,0.60,0.60,0.66,0.60,0.82,0.83,0.77
None,0.77,0.92,0.71,0.51,0.47,0.55,0.52,0.75,0.83,0.67
RandomOverSampler,0.77,0.92,0.76,0.53,0.56,0.62,0.54,0.78,0.79,0.75
SMOTE,0.78,0.92,0.78,0.56,0.59,0.63,0.56,0.79,0.79,0.77
SVMSMOTE,0.77,0.91,0.77,0.54,0.59,0.63,0.54,0.77,0.78,0.76
