"","818__1308_47678","853__39485","1735__88431_411489","28116__204516","40545__33039_360807","100886__165179_310298","674529__218538_410072","823__39483","28111__208479","46228__821_46506","166486__261299","39777__357276","1308__47678","1681__74426_487173","301301__820_29466","39496__28118_39486","1623__40520_329854","338188__562_39491","1304__239935","165179__310298","1318__387090","33039__360807","88431__411489","658082__39488_751585","1502__214856","817__39492","150055__216816_487174","218538__410072","729__46503","1531__40518_658081","820__29466","821__46506","562__39491","74426__487173","40520__329854","39488__751585","29361__33038_246787","28118__39486","291644__28117_457412","216816__487174","328814__1680_45851","40518__658081","33038__246787","28117__457412","1680__45851"
"ERR209118",0,4.392947625549,0,0,0,0,0,0,0,0,0,-4.71252856157448,0,0,-2.85927830092409,0,0,-5.86473207745128,-4.31184702684052,0,0,0,0,0,0,0,0,0,0,0,4.95241529017974,0,-0.0192563478349453,0,0,0,0,0,0,0,-2.50087263710366,0,0,0,-4.3316384707223
"ERR209120",-3.15594201319883,-0.394236764854908,0,0,-2.63112861265056,-3.62548039560031,0,0,0,-2.29643724830317,0,0,-5.46625191260157,0,-2.47783327770049,0,0,-2.4294456263585,0,6.27951624702465,0,4.55724843835899,0,-2.37158704306631,0,0,0,0,0,0,4.29173312966217,3.97754599045476,-4.20792325907892,0,0,-4.10770925316288,0,0,0,0,0,0,0,0,0
"ERR209121",-3.08398977466103,0.048300127059886,0,0,-2.52537704358422,-3.6089388516386,0,0,0,4.52114820244125,0,0,-5.34162697973579,0,-2.53017181778278,0,0,-2.33760955054061,0,6.25086545244733,0,4.37408134775595,0,-2.43902688991292,0,0,0,0,0,0,4.38238614027867,0,-4.04885850979458,0,0,-4.22451849435588,0,0,0,0,0,0,0,0,0
"ERR209124",-2.61034739278201,0,0,-4.48304331493317,0,0,0,0,0,0,0,0,-4.5212543097034,0,-2.81327570934742,0,0,-2.68150910211082,0,0,0,0,0,0,0,0,-3.06842628139456,0,0,-2.64503919451526,4.87273646428911,0,-4.64451000581434,0,0,0,-3.03820469463178,0,-3.03600498420185,-5.31467021865502,0,-4.58134227291148,-5.26232489489653,5.25851488466996,0
"ERR209126",0,0.701525344299825,0,0,-2.47754997018657,2.05411678561416,0,0,0,0,0,0,0,0,0,0,0,-2.48684373042962,0,5.22664906745219,0,-4.29124242665389,0,-2.88974966815744,0,0,0,0,0,-3.28829261025358,0,0,-4.30733969158822,0,0,-5.00519324640399,0,0,0,0,-3.06739267154916,5.69548987111249,0,0,-5.31287995388759
"ERR209128",0,4.51794180149573,0,0,0,-2.75622871604954,0,0,0,0,0,0,0,0,4.51835798343766,0,0,-2.36627291180919,0,4.77392817347814,0,0,0,0,0,-4.500029430396,0,0,0,-2.53141632467381,0,0,-4.09850490782746,0,0,0,0,0,0,0,-3.57287390101867,4.38454168944432,0,0,-6.18839912560115
"ERR209130",0,0.404156573485438,0,0,-2.49093004601396,-3.74245153915071,0,0,0,-2.34045165878863,0,0,0,0,0,0,0,-2.19016210054688,0,6.48211621067337,0,-4.31441739779606,0,0,0,0,0,0,-4.1024122359643,0,0,4.05378118568077,-3.79347203495897,0,0,0,0,0,-2.44876887076623,0,0,0,0,4.24139210016018,0
"ERR209132",0,-0.310562477402541,0,0,0,0,-2.74093275377313,0,0,-2.65976574028446,0,0,0,0,-2.83786006380891,0,0,0,0,0,0,0,0,0,0,-5.75373745288815,0,4.74743478966473,0,0,4.91531781528768,4.60684939840374,0,0,0,0,-2.62591645351569,0,-2.62103387793597,0,-2.69673877551869,0,-4.54822071392026,4.53976384494439,-4.67088857393945
"ERR209133",0,-5.18248726198394,0,-4.67298089862042,0,0,-2.74034756741162,0,0,-2.8231488127397,0,0,0,0,-2.9040678062726,0,0,0,0,0,0,0,0,0,0,-5.47899445586748,0,4.7464212171547,0,-2.56188496280551,5.02999298908924,4.88983718099292,0,0,0,0,-2.76016771035975,0,0,0,-2.84156273650481,4.43731491872585,-4.78075071175414,0,-4.92173103252078
"ERR209134",0,-5.0282196050515,0,0,0,-3.86153622693801,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68837694032445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR209135",0,-4.72338772607369,-2.17352317792361,0,0,-3.75065873241823,4.34915540118552,0,0,-2.43120773924585,0,0,0,0,0,0,0,-2.29402940711229,0,6.49633148640025,0,0,-3.76465257559225,-2.41309516317951,0,0,0,0,0,0,0,4.21097532812848,-3.9733754871756,0,0,-4.17960342612562,0,0,0,0,0,0,0,0,0
"ERR209136",0,-0.588921146370374,0,0,0,0,-2.89793850284911,0,0,-2.63924152269756,0,0,0,0,-2.9681444222675,0,0,-2.76195662869184,-4.54166545300247,0,0,0,0,0,0,0,0,5.01937672414475,0,-2.62193794017369,5.14097694356948,4.57130041075762,-4.78384920919592,0,0,0,-2.81135732371283,0,0,0,0,4.54132972667331,-4.86941372290149,0,0
"ERR209137",0,-5.53415573005276,0,-4.66901728850752,0,0,-2.82887684385327,0,0,-2.81853756656092,0,-4.48668626432224,0,0,-3.03229482722944,0,0,-2.76299300443229,0,0,0,0,0,0,0,0,0,4.89975842190896,0,-2.69069973512063,5.25208870428968,4.88185026832506,-4.78564426463411,0,0,0,-2.8984416198704,0,0,0,0,4.66042864914105,-5.02024814838777,0,0
"ERR209138",5.18311224381986,-5.16636423316104,5.16821878025737,0,0,0,-2.68789188621504,0,0,0,0,-5.95852505602853,0,0,0,-2.38630055369283,0,-2.73150634579965,0,0,0,0,0,0,0,0,0,4.6555653121766,0,0,0,0,-4.7311077721218,0,0,0,-2.84224058157386,4.13319380112573,0,0,0,0,-4.92290509462004,0,0
"ERR209139",5.25108627685748,-5.16578274706132,4.99921894997578,0,-2.48756310060677,0,-3.05848892457972,0,0,0,0,-5.84662099092553,0,0,0,0,0,-2.66600507411528,0,0,0,4.30858567728449,0,0,0,0,0,5.29745821175877,0,0,0,0,-4.61765624160409,0,0,0,-2.91974866443958,0,0,0,0,0,-5.05715303214073,0,0
"ERR209140",0,4.04639292567866,0,0,0,0,-3.10913703250193,0,0,1.80101103666812,0,0,0,0,-2.78670746402943,0,-2.70679601447148,3.91023614515504,-4.51972164341895,0,0,0,0,0,0,0,0,5.38518330798726,0,0,4.82671891353039,5.31955550359068,-4.77747153624137,0,-4.68830822278955,0,0,0,0,0,0,0,0,0,0
"ERR209141",0,0,0,0,0,0,-3.16576514991289,0,0,1.70838009099442,0,0,0,0,-2.84309536326581,-2.36485468410154,-2.67903326760723,3.86298860300571,-4.28569017932028,0,0,0,0,0,0,0,0,5.48326608448004,0,0,4.92438561993988,5.27843559306672,-4.88234037212576,0,-4.64022173466298,0,0,4.09604846538111,0,0,0,0,0,0,0
"ERR209142",-2.5854329717406,-5.07569010161951,0,0,0,0,0,0,0,-5.31377435078288,0,0,-4.47810126661851,0,-2.82394964417378,0,-3.06076641988928,0,0,0,0,0,0,0,0,-5.6692795480593,0,0,-4.36230286707507,0,4.89122426172504,0.0557325992243612,0,0,-5.30140294934894,0,0,0,5.77492852291517,0,0,0,0,0,0
"ERR209143",-2.5737678766002,-4.846760964806,0,0,0,0,0,0,0,-5.2663738791354,0,0,-4.45789672916022,0,-2.62240909714329,0,-3.01358061655751,0,0,0,0,0,0,0,0,-5.844088948585,0,0,-4.36532204027264,0,4.542145794483,-0.33249852665916,0,0,-5.21967474058234,0,0,0,5.7296836245844,0,0,0,0,0,0
"ERR209144",4.96198304198689,4.36219358087138,0,-5.65123058822697,-2.49509613927697,0,0,0,0,-5.82945895487416,4.81219145364857,0,0,0,-2.90957968066931,0,0,0,0,0,0,-4.32163328299667,0,0,0,0,0,0,-4.30032416818529,0,5.03953983558927,0.903479575662688,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR209145",0,4.47458465024666,0,-5.69030546277897,-2.46170563232829,0,0,0,0,-5.87657128965082,4.82014036736277,0,0,0,-2.80947371436248,0,0,4.85286164140675,0,0,0,-4.26379922847106,0,0,0,0,0,0,-4.31488787465241,0,4.86615121580506,0.672132300760702,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR209146",0,4.68950412209364,0,0,0,0,-2.72928449575896,0,0,0,0,-4.60225398796185,0,0,-3.04971628630658,0,-2.81905769825044,-2.77375215655358,0,0,0,0,0,0,0,0,0,4.72725941496452,0,0,5.28226355655326,0,-4.80427966275454,0,-4.88275116283794,0,0,0,0,0,2.69333642407871,0,0,0,-4.44114309659246
"ERR209147",-2.41945315512789,0,0,0,0,0,-3.00026837492909,0,0,0,0,-5.21554543985974,-4.19061579121434,0,-3.02959706720702,0,-2.97694999220049,-2.8299504656526,0,0,0,0,0,0,0,0,0,5.19661726171929,-4.05040310783257,-2.70049777250939,5.24741604686422,0,-4.90161798941351,0,-5.15622863808302,0,0,0,0,0,-2.64930303569544,4.67739934771284,0,0,-4.58872746247097
"ERR209148",0,4.62040561608576,0,0,0,0,-2.97128958938323,0,0,-2.85096053173318,0,-4.4685689084446,0,0,-2.79755266984251,0,0,-3.13090511174463,0,0,0,0,0,0,0,0,0,5.14642453281222,0,0,4.84550336101719,4.93800849133546,-5.42288672721881,0,0,0,-2.82714105608713,0,-2.63786110105342,0,-2.79710510776447,0,-4.89675194930684,4.5689094503341,4.84472816075848
"ERR209149",5.51838387302927,0,-2.50932036968418,0,0,0,-3.00459968531042,0,0,0,0,-4.64718406647725,0,0,-2.90516401536455,0,0,-3.25866727189917,0,0,0,0,-4.34627037276051,0,0,0,0,5.20411931136312,-4.42191520152013,-2.49686737471698,5.03189167893222,0,-5.64417727989122,0,0,0,-2.91836456402729,0,0,0,0,4.32470115277093,-5.05475569990386,0,0
"ERR209150",0,0,-2.82805914660259,-4.5701559984467,0,0,0,0,0,-2.91314635291333,0,0,0,0,-2.5525345807825,0,0,-2.76022952786986,0,0,0,0,4.89834212872556,-2.56616065346282,0,-5.12308561220766,-2.69632907539352,0,0,0,4.42111958199181,5.04571749312986,-4.78085778282245,0,0,-4.44472063218176,0,0,0,-4.67017895250678,-2.67963348095672,0,0,0,-4.64126133467969
"ERR209151",0,0,-2.69883100306682,-4.78871271979836,0,0,-2.44837750858488,0,0,-2.6500285767231,0,0,0,0,0,0,0,-2.80615942673579,0,0,0,0,4.67451241835381,-2.76717245667816,0,-4.95348761125524,-2.84466720189503,4.24071424097791,0,-2.50593830239323,0,4.58998413639385,-4.86041070124474,0,0,-4.79288328827177,0,0,0,-4.92710812430698,0,4.34041246037798,0,0,0
"ERR209152",0,0,0,-4.85585065060465,0,0,-2.5693438266424,0,0,-2.99474637006886,0,0,0,0,0,0,0,-2.81241754147032,0,0,0,0,0,-2.83147566163558,0,0,-2.86207038199239,4.45023404985808,0,-2.54803690578749,0,5.18705286874174,-4.87125007392454,0,0,-4.90425970634753,0,0,-2.7130236071487,-4.95725131644889,0,4.41332938038453,0,4.69909472971534,0
"ERR209153",0,0,0,-0.712999374002723,0,0,-2.6204433698015,0,0,-3.11665948002072,0,0,0,0,0,0,0,-2.88656657041889,0,0,0,0,0,-2.92914102560348,0,0,-2.93553070201432,4.5387410548532,0,-2.66285500020291,0,5.39821256928709,-4.99967995939536,0,0,-5.07342107887963,0,0,0,-5.08448832306714,-2.4494345090949,4.61220015354027,0,0,-4.2425450195649
"ERR209154",0,0.695426769014124,-2.5786074461045,0,0,0,-2.45910013645826,0,0,-2.9524775064523,0,0,0,0,0,0,0,-2.4956484776979,0,0,0,0,-4.46627910942843,0,0,0,0,4.25928637724526,-4.22131605646881,0,0,5.11384104937964,-4.32258996120469,0,0,0,0,0,-2.5094857157993,0,-3.50674002022868,0,0,4.34655676063274,-6.07385188397118
"ERR209155",-2.48713344046705,-4.58695010862625,-2.82700276289499,0,-2.56108388754875,0,-2.55715642463342,0,0,-3.03914958232928,0,0,-4.30784148409251,0,0,0,0,-2.40381191371964,0,0,0,-4.43592741568045,-4.89651241847172,0,0,0,0,4.42912485036626,-4.30531414700441,0,0,5.26396148839604,-4.16352436640179,0,0,0,0,0,0,0,-3.5310427291688,0,0,0,-6.11594541061704
"ERR209156",0,0.0100310881008842,0,0,-2.59721953557823,0,0,0,5.00733656436765,-2.76452763490624,4.77360293458035,0,0,0,-3.22227023588641,0,0,0,0,0,0,-4.49851619403195,0,0,0,0,0,0,0,0,5.58113576427222,4.78830232258584,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR209157",5.28556859680108,-4.92472380911516,0,4.30120089114643,-5.27397850288752,0,0,0,5.20892786711235,-2.95232853625096,4.46320854226867,0,0,0,-3.33883178408817,0,0,0,0,0,0,0.033925588944605,0,0,0,0,0,0,0,0,5.78302628796655,5.11358302542211,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERR209158",0,-0.114044772343695,0,0,0,-3.20096854821549,0,0,0,0,0,0,0,0,-2.51212993311376,0,0,-3.0302128613515,0,5.54424015893922,0,0,0,-2.80437342880425,0,0,0,0,0,0,4.35113667936764,0,-5.24848263360947,0,0,-4.8573172620851,0,0,0,0,0,0,0,0,0
"ERR209159",0,-4.55260109588477,0,0,0,-5.7354053652178,0,0,0,0,0,0,0,0,-2.53510483430464,0,0,-3.06175037906128,0,1.35251760546327,0,0,0,-2.87284779440253,0,0,0,0,0,0,4.39093037552911,0,-5.30310721662741,0,0,-4.97591834231736,0,0,0,0,0,0,0,0,0
"ERR209160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.12431730581882,-2.43318675197482,0,0,0,0,0,0,0,0,0,2.50795341171864,0,-2.91702868150273,-4.21440307872388,0,0,5.05041098808791,5.05244188349838,0
"ERR209161",-2.47555664673071,0,0,0,0,0,0,0,0,-2.61846889535617,0,0,-4.28778988915244,0,0,0,0,0,0,0,0,0,0,0,0,-4.48989393962249,-2.74332021662558,0,0,-2.75710781063856,0,4.53532116479564,0,0,0,0,2.80587027377965,0,-2.47405837342798,-4.75156999662637,0,4.77545080997097,5.32725078828573,4.28519480366848,0
