,D003093,D006262,accuracy,macro avg,weighted avg
precision,0.82,0.78,0.8,0.8,0.8
recall,0.77,0.83,0.8,0.8,0.8
f1-score,0.79,0.81,0.8,0.8,0.8
support,617.0,615.0,0.8,1232.0,1232.0
