mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.01608567237854004,0.0017165259325549072,0.006271648406982422,0.00011634390854099662,0.001,{'C': 0.001},0.5,0.5070422535211268,0.5070422535211268,0.49295774647887325,0.49295774647887325,0.5,0.006298783035210667,10,0.5,0.4982456140350877,0.4982456140350877,0.5017543859649123,0.5017543859649123,0.5,0.0015691705105261731
0.2170952796936035,0.017084936054762526,0.006353759765625,5.0763475606865735e-05,0.00332829813945462,{'C': 0.00332829813945462},0.7361111111111112,0.676056338028169,0.6901408450704225,0.704225352112676,0.704225352112676,0.7021517996870109,0.019935246282465756,9,0.7323943661971831,0.7473684210526316,0.7543859649122807,0.7368421052631579,0.7157894736842105,0.7373560662218928,0.013268498297472961
0.24736447334289552,0.0158986005225643,0.006396675109863281,7.25918760589488e-05,0.011077568505097092,{'C': 0.011077568505097092},0.7361111111111112,0.7183098591549296,0.7323943661971831,0.7746478873239436,0.8450704225352113,0.7613067292644757,0.045855899424618964,8,0.8661971830985915,0.8807017543859649,0.8771929824561403,0.856140350877193,0.8666666666666667,0.8693797874969114,0.008740773731323757
0.26615538597106936,0.002616977536127899,0.007355880737304687,0.0018763220043882909,0.03686945064519577,{'C': 0.03686945064519577},0.6944444444444444,0.7746478873239436,0.7464788732394366,0.8591549295774648,0.8732394366197183,0.7895931142410015,0.06778055819951034,7,0.971830985915493,0.9649122807017544,0.9649122807017544,0.9543859649122807,0.9614035087719298,0.9634890042006423,0.0056719433423964155
0.3502073287963867,0.025277336293343767,0.007315254211425782,0.0015154391019830122,0.12271252398511903,{'C': 0.12271252398511903},0.75,0.7464788732394366,0.7464788732394366,0.8450704225352113,0.8873239436619719,0.7950704225352112,0.05960592667464459,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3636003017425537,0.06852175153182948,0.0067847251892089845,0.0005898925367833728,0.40842386526745217,{'C': 0.40842386526745217},0.7638888888888888,0.7605633802816901,0.7464788732394366,0.8450704225352113,0.8873239436619719,0.8006651017214397,0.05545876423594074,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.36972503662109374,0.05668165304113486,0.00782322883605957,0.0012364418498308257,1.3593563908785269,{'C': 1.3593563908785269},0.7777777777777778,0.7746478873239436,0.7746478873239436,0.8591549295774648,0.8732394366197183,0.8118935837245695,0.04457649716026271,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.31119732856750487,0.006763456045605988,0.007370662689208984,0.0004564558509988797,4.524343346616749,{'C': 4.524343346616749},0.7777777777777778,0.7605633802816901,0.7887323943661971,0.8591549295774648,0.8732394366197183,0.8118935837245695,0.04545782038910604,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.26639647483825685,0.012114497055555477,0.006895017623901367,0.0003563374252888707,15.058363542798414,{'C': 15.058363542798414},0.7777777777777778,0.7605633802816901,0.7887323943661971,0.8591549295774648,0.8732394366197183,0.8118935837245695,0.04545782038910604,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.263292121887207,0.024528855347685653,0.006714868545532227,0.00035796757776114497,50.11872336272722,{'C': 50.11872336272722},0.7777777777777778,0.7605633802816901,0.7887323943661971,0.8591549295774648,0.8732394366197183,0.8118935837245695,0.04545782038910604,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
