mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0.03169722557067871,0.006137917761156158,0.0023908376693725585,0.00012053748501974054,0.001,{'C': 0.001},0.84375,0.78125,0.7419354838709677,0.8387096774193549,0.8064516129032258,0.8064516129032258,0.8387096774193549,0.7419354838709677,0.7419354838709677,0.8064516129032258,0.794758064516129,0.039021863618624766,10,0.8178571428571428,0.8178571428571428,0.8185053380782918,0.8113879003558719,0.8291814946619217,0.8256227758007118,0.8042704626334519,0.8362989323843416,0.8434163701067615,0.8149466192170819,0.8219344178952719,0.011184892770855858
0.0298903226852417,0.0008088950814462406,0.0024066925048828124,3.5990024876821285e-05,0.00332829813945462,{'C': 0.00332829813945462},0.90625,0.78125,0.8709677419354839,0.9032258064516129,0.8064516129032258,0.9032258064516129,0.9032258064516129,0.7419354838709677,0.7419354838709677,0.8709677419354839,0.8429435483870968,0.06482536774944014,3,0.85,0.8607142857142858,0.8540925266903915,0.8469750889679716,0.8540925266903915,0.8434163701067615,0.8434163701067615,0.8647686832740213,0.8576512455516014,0.8505338078291815,0.8525660904931367,0.006747030683438017
0.031676411628723145,0.0036988617436372667,0.002362060546875,9.218507930220619e-05,0.011077568505097092,{'C': 0.011077568505097092},0.90625,0.84375,0.8709677419354839,0.8709677419354839,0.8387096774193549,0.9354838709677419,0.9032258064516129,0.7419354838709677,0.8064516129032258,0.9032258064516129,0.8620967741935484,0.05412433476194896,1,0.8785714285714286,0.8785714285714286,0.8896797153024911,0.8861209964412812,0.8790035587188612,0.8718861209964412,0.8754448398576512,0.8896797153024911,0.8754448398576512,0.8683274021352313,0.8792730045754956,0.0068427568987794365
0.03262603282928467,0.0033845998113640192,0.002355480194091797,6.446489206146613e-05,0.03686945064519577,{'C': 0.03686945064519577},0.78125,0.84375,0.7419354838709677,0.8387096774193549,0.8387096774193549,0.9032258064516129,0.9354838709677419,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8431451612903226,0.05202277089378477,2,0.925,0.9071428571428571,0.9181494661921709,0.9181494661921709,0.9181494661921709,0.9074733096085409,0.9217081850533808,0.9181494661921709,0.9039145907473309,0.9145907473309609,0.9152427554651753,0.006523239547241053
0.03311090469360352,0.0010203878825653025,0.0023102521896362304,4.256335255889702e-05,0.12271252398511903,{'C': 0.12271252398511903},0.78125,0.8125,0.7419354838709677,0.8709677419354839,0.8387096774193549,0.9032258064516129,0.8709677419354839,0.8709677419354839,0.8387096774193549,0.8387096774193549,0.8367943548387096,0.04538854561991555,4,0.95,0.9392857142857143,0.9395017793594306,0.9323843416370107,0.9430604982206405,0.9252669039145908,0.9323843416370107,0.9430604982206405,0.9395017793594306,0.9359430604982206,0.9380388917132688,0.006563534690056742
0.03335540294647217,0.0033459078841718377,0.002385735511779785,0.00013004461570663992,0.40842386526745217,{'C': 0.40842386526745217},0.78125,0.78125,0.7419354838709677,0.8387096774193549,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8064516129032258,0.8064516129032258,0.820766129032258,0.04236942050541429,9,0.9607142857142857,0.95,0.9537366548042705,0.9501779359430605,0.9430604982206405,0.9572953736654805,0.9395017793594306,0.9572953736654805,0.9644128113879004,0.9501779359430605,0.9526372648703608,0.007292554953059068
0.03481316566467285,0.005928461122627247,0.0024242162704467773,0.00022146125329701634,1.3593563908785269,{'C': 1.3593563908785269},0.8125,0.78125,0.7419354838709677,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9032258064516129,0.7741935483870968,0.8064516129032258,0.827116935483871,0.04949432524703948,7,0.9642857142857143,0.9535714285714286,0.9608540925266904,0.9501779359430605,0.9466192170818505,0.9644128113879004,0.9537366548042705,0.9608540925266904,0.9750889679715302,0.9466192170818505,0.9576220132180987,0.008634509896144435
0.03251230716705322,0.0034416687351138744,0.002355790138244629,6.892692667510405e-05,4.524343346616749,{'C': 4.524343346616749},0.8125,0.78125,0.7419354838709677,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9032258064516129,0.7741935483870968,0.8064516129032258,0.827116935483871,0.04949432524703948,7,0.9642857142857143,0.9535714285714286,0.9679715302491103,0.9572953736654805,0.9537366548042705,0.9750889679715302,0.9537366548042705,0.9608540925266904,0.9750889679715302,0.9501779359430605,0.9611807320793085,0.008646549627441158
0.03193795680999756,0.0032439614104914235,0.0023919105529785155,0.00014223546490061916,15.058363542798414,{'C': 15.058363542798414},0.8125,0.78125,0.7741935483870968,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9032258064516129,0.7741935483870968,0.8064516129032258,0.8303427419354839,0.04465179643293006,5,0.9642857142857143,0.9571428571428572,0.9679715302491103,0.9572953736654805,0.9537366548042705,0.9750889679715302,0.9537366548042705,0.9572953736654805,0.9750889679715302,0.9537366548042705,0.9615378749364515,0.008087630733340938
0.031035208702087404,0.0007911118081168391,0.00233919620513916,4.5063892914439814e-05,50.11872336272722,{'C': 50.11872336272722},0.8125,0.78125,0.7741935483870968,0.8387096774193549,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.9032258064516129,0.7741935483870968,0.8064516129032258,0.8303427419354839,0.04465179643293006,5,0.9642857142857143,0.9571428571428572,0.9679715302491103,0.9572953736654805,0.9537366548042705,0.9750889679715302,0.9572953736654805,0.9572953736654805,0.9750889679715302,0.9537366548042705,0.9618937468225726,0.007810064290893774
