,D003093,D006262,accuracy,macro avg,weighted avg
precision,0.77,0.77,0.77,0.77,0.77
recall,0.76,0.78,0.77,0.77,0.77
f1-score,0.77,0.77,0.77,0.77,0.77
support,615.0,615.0,0.77,1230.0,1230.0
