,D006262
818__1308_47678,-0.006233251473379395
853__39485,-0.03844777259972637
1735__88431_411489,-3.0161712742400477e-07
28116__204516,-0.08628501124270087
40545__33039_360807,-0.16776335710593587
100886__165179_310298,0.17737165423724527
674529__218538_410072,-0.027248348690490143
823__39483,0.22245833984450503
28111__208479,0.15603155303070257
46228__821_46506,0.08019787804120217
166486__261299,0.14207316983055188
39777__357276,-0.08767651969087734
1308__47678,-0.16185705696898514
1681__74426_487173,0.09248254971699768
301301__820_29466,0.0814100147411912
39496__28118_39486,-0.36285707359816444
1623__40520_329854,-0.025201358503997486
338188__562_39491,-0.10335492455431078
1304__239935,-0.15628784044802824
165179__310298,0.06784692121383762
1318__387090,-0.2578741571477936
33039__360807,-0.06177720508161815
88431__411489,-0.030939708815145597
658082__39488_751585,-0.09037218928026365
1502__214856,-0.3611018460296836
817__39492,-0.031811756596873776
150055__216816_487174,0.0
218538__410072,0.1392527710527171
729__46503,-0.11285143435971798
1531__40518_658081,0.31608970728873415
820__29466,0.05496514123091102
821__46506,0.13084612081094182
562__39491,-0.07606366419161269
74426__487173,-0.28447171471346616
40520__329854,-0.31587284004579363
39488__751585,-0.10208573646729216
29361__33038_246787,0.012653210599431062
28118__39486,0.42615679103265774
291644__28117_457412,-0.1042596987659677
216816__487174,-0.07654330566189943
328814__1680_45851,-0.045032254475298676
40518__658081,0.3332531336909841
33038__246787,-0.19162310016839773
28117__457412,0.11556581190363419
1680__45851,-0.41817971862639514
