mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004210376739501953,0.00024506213389005024,0.0019516944885253906,7.06303521959727e-05,0.0001,{'C': 0.0001},0.508,0.508,0.508,0.508,0.508,0.508,0.0,3,0.508,0.508,0.508,0.508,0.508,0.508,0.0
0.06508140563964844,0.01852511240640938,0.0025829792022705076,0.0003512838146621626,1.0,{'C': 1.0},0.764,0.82,0.828,0.672,0.672,0.7512000000000001,0.06832393431294773,1,0.836,0.809,0.813,0.85,0.873,0.8362,0.023760471375795553
0.05953426361083984,0.010071312019663619,0.008663702011108398,0.012100109307514702,10000.0,{'C': 10000.0},0.76,0.82,0.824,0.672,0.672,0.7496,0.06729517070340185,2,0.836,0.809,0.813,0.847,0.877,0.8364,0.02473539973398449
