"","D003093"
"1318__1583",1.16878002116006
"39496__469592",0.994232951291517
"1502__658086",0.917776991189382
"1623__457392",0.864164862554041
"39777__376805",0.80053719958029
"33959__322095",-0.761617863025279
"28118__39486",-0.688225663965567
"1261__1318_1583",0.669533279476584
"446660__1118060",-0.664082472750113
"849__491921",0.64396022606796
