,D003093,D006262,accuracy,macro avg,weighted avg
precision,0.75,0.78,0.77,0.76,0.76
recall,0.67,0.83,0.77,0.75,0.77
f1-score,0.71,0.8,0.77,0.76,0.76
support,451.0,615.0,0.77,1066.0,1066.0
